in	f	label	std_f	std_g	var_p
0	d:/study/dataset/omrimage1\B84261310881005001_Omr01.jpg	0	53.44115980667943	20.799235867123073	-1.0
1	d:/study/dataset/omrimage1\B84261310881005001_Omr01.jpg	0	16.033396190536227	16.554421729881824	-1.0
2	d:/study/dataset/omrimage1\B84261310881005001_Omr01.jpg	0	3.1755259297108904	18.14950259495958	-1.0
3	d:/study/dataset/omrimage1\B84261310881005001_Omr01.jpg	0	62.75805001364069	93.66207895415094	-1.0
4	d:/study/dataset/omrimage1\B84261310881005001_Omr01.jpg	1	503.35878121143827	7.484095627598482	2.3155588020452886
5	d:/study/dataset/omrimage1\B84261310881005001_Omr01.jpg	1	827.4699377854685	7.499403433785483	2.1972242512783056
6	d:/study/dataset/omrimage1\B84261310881005001_Omr01.jpg	1	922.1589549592059	7.514291229436673	2.169466764061359
7	d:/study/dataset/omrimage1\B84261310881005001_Omr01.jpg	0	11.256685791119873	65.3834841531101	-1.0
8	d:/study/dataset/omrimage1\B84261310881005001_Omr01.jpg	0	13.722266576626472	17.712393652154667	-1.0
9	d:/study/dataset/omrimage1\B84261310881005001_Omr01.jpg	1	305.2503922601902	24.44777858111081	0.3112244897959183
10	d:/study/dataset/omrimage1\B84261310881005001_Omr01.jpg	1	630.5980275896841	24.41018522783354	0.22959183673469385
11	d:/study/dataset/omrimage1\B84261310881005001_Omr01.jpg	1	958.1248420710895	24.429093561671454	0.22959183673469385
12	d:/study/dataset/omrimage1\B84261310881009001_Omr01.jpg	0	97.69937976079729	190.40598073590021	-1.0
13	d:/study/dataset/omrimage1\B84261310881009001_Omr01.jpg	0	15.429324400862175	91.45499060260435	-1.0
14	d:/study/dataset/omrimage1\B84261310881009001_Omr01.jpg	0	19.72173211613041	79.86305917383542	-1.0
15	d:/study/dataset/omrimage1\B84261310881009001_Omr01.jpg	0	22.727508604857828	216.73990749282882	-1.0
16	d:/study/dataset/omrimage1\B84261310881009001_Omr01.jpg	1	398.3395542025393	11.23304971482329	3.1088385682980277
17	d:/study/dataset/omrimage1\B84261310881009001_Omr01.jpg	1	679.2798031787305	7.200661441900775	2.4616508400292187
18	d:/study/dataset/omrimage1\B84261310881009001_Omr01.jpg	1	807.8102860139143	7.185632121439306	2.4032140248356466
19	d:/study/dataset/omrimage1\B84261310881009001_Omr01.jpg	0	8.806403565020172	32.057565409743766	-1.0
20	d:/study/dataset/omrimage1\B84261310881009001_Omr01.jpg	0	16.521647731083	16.95819114509505	-1.0
21	d:/study/dataset/omrimage1\B84261310881009001_Omr01.jpg	1	430.6652582850746	23.61856758344751	0.22959183673469385
22	d:/study/dataset/omrimage1\B84261310881009001_Omr01.jpg	1	730.004921212008	23.61856758344751	0.39285714285714285
23	d:/study/dataset/omrimage1\B84261310881009001_Omr01.jpg	1	1029.0050762478045	23.61856758344751	0.38775510204081626
24	d:/study/dataset/omrimage1\B84261310881010000_Omr01.jpg	0	22.386250521802296	61.3225893202293	-1.0
25	d:/study/dataset/omrimage1\B84261310881010000_Omr01.jpg	0	21.280195101166345	153.17386005764388	-1.0
26	d:/study/dataset/omrimage1\B84261310881010000_Omr01.jpg	0	66.48325338581819	91.19606472991157	-1.0
27	d:/study/dataset/omrimage1\B84261310881010000_Omr01.jpg	1	518.4439729763894	7.341905696406798	2.669101533966399
28	d:/study/dataset/omrimage1\B84261310881010000_Omr01.jpg	1	798.9547947270485	7.348668031742873	2.6033601168736302
29	d:/study/dataset/omrimage1\B84261310881010000_Omr01.jpg	1	847.3528858131757	7.348668031742873	2.6033601168736302
30	d:/study/dataset/omrimage1\B84261310881010000_Omr01.jpg	0	8.437291268801987	12.417326604386309	-1.0
31	d:/study/dataset/omrimage1\B84261310881010000_Omr01.jpg	1	181.46600816668123	23.36107437423132	0.3724489795918367
32	d:/study/dataset/omrimage1\B84261310881010000_Omr01.jpg	1	497.9530459681022	23.341738039269433	0.22959183673469385
33	d:/study/dataset/omrimage1\B84261310881010000_Omr01.jpg	1	810.6732683101595	23.341738039269433	0.22959183673469385
34	d:/study/dataset/omrimage1\B84261310881011001_Omr01.jpg	0	45.74759719110856	178.52159533232947	-1.0
35	d:/study/dataset/omrimage1\B84261310881011001_Omr01.jpg	0	18.726084388925532	106.61087241151107	-1.0
36	d:/study/dataset/omrimage1\B84261310881011001_Omr01.jpg	0	23.518732380235207	63.84897303813657	-1.0
37	d:/study/dataset/omrimage1\B84261310881011001_Omr01.jpg	0	13.749575669957924	110.36239007405169	-1.0
38	d:/study/dataset/omrimage1\B84261310881011001_Omr01.jpg	1	397.30278389852884	12.274206584196467	2.5157048940832722
39	d:/study/dataset/omrimage1\B84261310881011001_Omr01.jpg	1	697.5365969344333	7.178614453949412	2.2191380569758947
40	d:/study/dataset/omrimage1\B84261310881011001_Omr01.jpg	1	845.7443694653917	7.132472885806441	2.18699780861943
41	d:/study/dataset/omrimage1\B84261310881011001_Omr01.jpg	0	7.167757232914631	35.57035282366482	-1.0
42	d:/study/dataset/omrimage1\B84261310881011001_Omr01.jpg	0	9.541252210794974	15.259433849123496	-1.0
43	d:/study/dataset/omrimage1\B84261310881011001_Omr01.jpg	1	381.44180380989974	23.61856758344751	0.48979591836734687
44	d:/study/dataset/omrimage1\B84261310881011001_Omr01.jpg	1	685.75092886831	23.61856758344751	0.20408163265306126
45	d:/study/dataset/omrimage1\B84261310881011001_Omr01.jpg	1	990.1307183271308	23.621591644864548	0.20408163265306126
46	d:/study/dataset/omrimage1\B84261310881012002_Omr01.jpg	0	68.66092160432713	38.93837796970445	-1.0
47	d:/study/dataset/omrimage1\B84261310881012002_Omr01.jpg	0	17.03757609830564	22.177608277132318	-1.0
48	d:/study/dataset/omrimage1\B84261310881012002_Omr01.jpg	0	10.114046338302654	24.002490812775896	-1.0
49	d:/study/dataset/omrimage1\B84261310881012002_Omr01.jpg	0	51.74249794656226	77.59962129089159	-1.0
50	d:/study/dataset/omrimage1\B84261310881012002_Omr01.jpg	1	446.7356345262325	7.410532847114251	2.3564645726807885
51	d:/study/dataset/omrimage1\B84261310881012002_Omr01.jpg	1	765.6721476000133	7.427074235657823	2.303871439006574
52	d:/study/dataset/omrimage1\B84261310881012002_Omr01.jpg	1	873.9063888321601	7.416149239316189	2.1913805697589477
53	d:/study/dataset/omrimage1\B84261310881012002_Omr01.jpg	0	17.926661533871833	14.59524211797882	-1.0
54	d:/study/dataset/omrimage1\B84261310881012002_Omr01.jpg	1	470.13798160088066	24.472079050649217	0.4081632653061224
55	d:/study/dataset/omrimage1\B84261310881012002_Omr01.jpg	1	799.3898647718771	24.711085672265405	0.4081632653061224
56	d:/study/dataset/omrimage1\B84261310881012002_Omr01.jpg	1	1128.5781705203233	24.692393276357105	0.3112244897959183
57	d:/study/dataset/omrimage1\B84261310881013003_Omr01.jpg	0	97.95285460758197	157.80069027491504	-1.0
58	d:/study/dataset/omrimage1\B84261310881013003_Omr01.jpg	0	20.93528447441629	86.34965199698259	-1.0
59	d:/study/dataset/omrimage1\B84261310881013003_Omr01.jpg	0	24.734731805296274	108.74060157291734	-1.0
60	d:/study/dataset/omrimage1\B84261310881013003_Omr01.jpg	0	17.526183973132962	103.1070012702217	-1.0
61	d:/study/dataset/omrimage1\B84261310881013003_Omr01.jpg	0	263.5145377432013	46.31783717766112	-1.0
62	d:/study/dataset/omrimage1\B84261310881013003_Omr01.jpg	1	741.2850822971106	7.414573137661577	2.197224251278305
63	d:/study/dataset/omrimage1\B84261310881013003_Omr01.jpg	1	866.910345973378	7.40787096458244	2.197224251278305
64	d:/study/dataset/omrimage1\B84261310881013003_Omr01.jpg	1	770.6439285444542	7.401064026320451	2.197224251278305
65	d:/study/dataset/omrimage1\B84261310881013003_Omr01.jpg	0	12.689143982160498	20.612117188682973	-1.0
66	d:/study/dataset/omrimage1\B84261310881013003_Omr01.jpg	0	48.89878417455796	19.697318980003345	-1.0
67	d:/study/dataset/omrimage1\B84261310881013003_Omr01.jpg	1	572.8610433386093	23.322166910211305	0.24489795918367335
68	d:/study/dataset/omrimage1\B84261310881013003_Omr01.jpg	1	884.647810134067	23.34173803926943	0.24489795918367335
69	d:/study/dataset/omrimage1\B84261310881013003_Omr01.jpg	1	1196.041956789142	23.322166910211305	0.24489795918367335
70	d:/study/dataset/omrimage1\B84261310881014000_Omr01.jpg	0	108.90190421813506	226.57159464504812	-1.0
71	d:/study/dataset/omrimage1\B84261310881014000_Omr01.jpg	0	21.668117880044136	62.409140568079295	-1.0
72	d:/study/dataset/omrimage1\B84261310881014000_Omr01.jpg	0	19.753372367703538	54.00461914400368	-1.0
73	d:/study/dataset/omrimage1\B84261310881014000_Omr01.jpg	0	15.7672001316065	132.21751859047356	-1.0
74	d:/study/dataset/omrimage1\B84261310881014000_Omr01.jpg	0	212.51404551258332	86.3193512487206	-1.0
75	d:/study/dataset/omrimage1\B84261310881014000_Omr01.jpg	1	676.9651332585065	7.186140381773761	2.6837107377647915
76	d:/study/dataset/omrimage1\B84261310881014000_Omr01.jpg	1	843.2827375361816	7.164456542240574	2.768444119795471
77	d:/study/dataset/omrimage1\B84261310881014000_Omr01.jpg	1	797.0487144566285	7.182785198933965	2.695398100803506
78	d:/study/dataset/omrimage1\B84261310881014000_Omr01.jpg	0	11.95979697779189	13.751704439813997	-1.0
79	d:/study/dataset/omrimage1\B84261310881014000_Omr01.jpg	1	128.7215171406863	22.614056592207323	1.2653061224489797
80	d:/study/dataset/omrimage1\B84261310881014000_Omr01.jpg	1	445.45737068770114	23.064682782053055	0.3112244897959183
81	d:/study/dataset/omrimage1\B84261310881014000_Omr01.jpg	1	757.3621330644938	23.064682782053055	0.3112244897959183
82	d:/study/dataset/omrimage1\B84261310881015001_Omr01.jpg	0	105.94119549795033	201.46889160789632	-1.0
83	d:/study/dataset/omrimage1\B84261310881015001_Omr01.jpg	0	19.107614961573773	56.10561329982946	-1.0
